lab,th_in,r_in,w
4,31,23,12713
2,13,7,12708.8
6,31,41,12706.4
5,3,4,12668.3
3,12,9,12597.6
5,36,31,12565.5
5,5,2,12560.6
4,34,8,12560.2
4,33,14,12555.6
2,13,8,12538.6
1,27,33,12535
5,35,37,12521.2
5,36,24,12469.4
5,34,32,12367.5
2,13,4,12345.8
1,25,19,12302
5,3,11,12295.2
5,36,4,12263.5
5,6,2,12263.3
4,32,13,12258.5
1,27,15,12256.6
4,30,22,12211
5,1,32,12184.6
1,26,20,12179.9
5,35,33,12156.2
3,11,7,12151
2,19,25,12148.3
2,20,20,12143.9
5,35,29,12133
5,35,5,12126.3
5,1,3,12101.3
4,32,12,12099.4
4,33,13,12091.1
3,10,3,12076.6
5,2,16,12069.3
3,13,9,12052.3
3,8,2,12046.2
2,23,23,12011.4
3,10,5,12008.9
3,11,3,12008.4
2,18,32,11976.5
4,32,11,11976.4
3,12,10,11961.4
5,2,3,11947.5
4,33,12,11936.6
4,33,11,11928
1,29,23,11927.8
1,28,35,11924.1
2,19,31,11919.8
2,19,30,11918.6
5,35,30,11918.6
5,3,12,11911.9
5,34,35,11901
5,4,8,11900.1
4,34,7,11892.2
5,35,39,11890.1
4,33,10,11877.4
3,9,5,11871.2
6,32,40,11867.1
5,36,30,11843.1
1,28,17,11810
3,11,15,11789.3
5,4,4,11774.2
1,27,20,11720.9
5,3,3,11693.9
5,5,6,11678.8
2,21,15,11673
4,33,9,11661.8
3,12,20,11652.2
3,9,4,11632.2
3,12,11,11616
5,6,5,11613.9
1,28,18,11601.5
1,29,22,11600
1,22,16,11599.1
3,9,3,11562
5,32,26,11532.8
3,11,8,11530.6
1,28,24,11514.2
4,32,10,11502.4
5,4,3,11455.2
3,12,12,11443.9
5,3,13,11440.6
3,13,10,11430.5
3,12,2,11408.8
5,4,9,11402
3,16,24,11399.9
2,22,27,11292.6
3,12,13,11275.7
4,30,29,11255.3
1,27,22,11233.8
3,11,9,11221.6
5,2,17,11216.8
3,8,3,11216.1
1,28,19,11206.3
2,21,14,11194.2
4,31,21,11186.6
6,30,41,11185.9
4,31,24,11178.5
5,7,4,11125.2
1,23,26,11103.3
4,34,6,11086.9
4,33,8,11086
3,12,14,11028.9
2,20,28,11017
1,26,19,11015.2
4,31,32,10990.9
3,13,11,10984.9
1,24,30,10962
5,35,34,10960.1
2,14,3,10959.6
1,26,18,10952.4
1,28,21,10935.9
4,30,28,10928
3,11,10,10927.6
3,13,17,10886.7
1,27,21,10881.1
1,24,22,10878
3,10,2,10866.6
3,11,14,10844.6
3,10,6,10815.1
1,28,20,10810.7
2,19,11,10796.2
4,32,9,10792.1
5,1,20,10773.7
3,11,13,10754.5
1,12,3,10750.7
5,3,14,10723
1,26,16,10717.4
5,36,3,10715.9
3,8,5,10706.1
3,11,11,10699.1
2,19,12,10686.2
3,11,12,10664.6
1,26,23,10664.1
2,20,30,10644.7
2,17,35,10640.8
2,20,17,10632.9
3,13,12,10625
5,4,10,10612.3
5,1,31,10609.9
2,22,26,10600.3
1,28,14,10594.7
1,28,15,10584
5,5,7,10575.6
1,26,21,10566.9
5,5,4,10566.8
1,29,39,10559.4
1,25,21,10534.3
2,19,10,10526.3
4,33,7,10522.1
5,32,34,10513
5,35,36,10483.9
3,13,16,10452.9
2,19,29,10426.7
3,13,20,10401.4
2,14,6,10373
5,7,5,10368.2
2,21,16,10349.8
3,11,20,10343.6
1,21,13,10342.1
1,28,16,10330.3
5,4,2,10317.6
5,35,35,10284.8
5,3,15,10265
2,19,13,10250.8
2,16,37,10249.8
1,26,32,10212.3
1,22,11,10201.4
5,34,36,10186.6
3,9,2,10172.9
4,34,5,10169.3
4,31,12,10162.5
4,31,13,10158.3
2,19,32,10152.8
3,13,13,10150
4,32,8,10137.9
1,29,20,10136.7
2,19,9,10128.8
1,21,10,10118.4
2,19,33,10109.6
5,5,3,10102.9
1,21,9,10095.2
1,27,19,10093.2
5,35,4,10091.9
1,29,21,10073.4
3,12,15,10043.8
5,36,29,10019
3,13,18,10018.8
5,6,6,10008
1,27,14,9993.82
2,14,7,9986.6
1,22,10,9980.53
2,14,4,9973.95
1,21,12,9970.93
1,21,11,9970.73
2,18,31,9965.66
2,17,19,9949.4
