lab,th_in,r_in,w
3,13,32,2175.59
3,7,18,2173.29
3,10,28,2171.62
1,24,34,2169.17
3,9,16,2169.16
2,16,40,2169.06
3,8,25,2162.15
3,8,24,2153.89
3,7,17,2146.01
3,10,34,2144.15
3,7,22,2143.25
4,36,1,2141.77
3,8,26,2140.21
3,9,34,2136.56
3,11,25,2113.38
3,9,30,2111.02
1,20,36,2110.91
3,7,21,2105.61
1,27,39,2104.56
3,10,24,2090.1
3,11,22,2089.44
3,8,28,2088.05
1,23,34,2086.92
3,14,27,2078.97
3,9,33,2076.9
2,13,42,2066.07
3,9,18,2062.63
3,7,19,2061.93
3,8,27,2053.41
3,7,30,2051.98
2,19,37,2044.78
3,9,27,2043.88
3,8,22,2033.41
3,9,28,2032.68
3,9,38,2032.4
3,11,34,2016.17
3,7,20,2014.23
1,23,35,2012
1,22,35,2007.69
1,20,1,2005.42
3,13,34,2005.4
3,13,37,1998.7
3,8,21,1991.81
3,8,29,1991.66
3,8,16,1983.32
3,8,40,1982.25
3,9,29,1981.4
3,9,32,1965.89
3,8,31,1962.64
3,7,40,1946.74
3,8,20,1943.65
3,8,17,1925.45
3,13,35,1914.34
3,11,24,1901.08
3,12,33,1887.44
3,13,36,1886.34
3,11,23,1882.59
3,10,23,1879.43
3,9,22,1878.7
2,15,42,1870.13
3,12,34,1869.83
1,24,35,1868.59
4,35,1,1863.79
3,7,32,1862.49
3,9,25,1861.32
3,15,26,1851.45
5,1,38,1843.79
1,29,43,1841.87
3,10,35,1837.52
3,7,31,1833.47
3,9,26,1825.28
3,8,19,1820.99
3,9,24,1813.94
3,9,21,1805.83
3,8,18,1796.94
1,21,36,1796.02
1,27,40,1792.05
3,9,23,1788.7
2,15,25,1782.36
3,8,32,1762.39
3,11,35,1749.56
3,8,30,1738.72
1,21,1,1733.68
3,9,20,1725.55
3,10,20,1711.07
1,25,35,1707.09
2,19,38,1704.47
1,22,36,1695.77
3,10,36,1676.49
3,9,19,1666.6
3,12,35,1659.76
1,23,36,1640.22
1,20,37,1637.21
3,10,22,1635.34
3,8,33,1622.77
4,5,36,1616.08
4,34,1,1596.07
5,1,39,1590.33
5,35,42,1581.83
1,28,42,1570.79
2,12,43,1566.77
2,18,39,1563.88
3,10,21,1550.02
1,21,37,1547.58
3,2,36,1545.25
1,22,1,1543.26
5,1,40,1529.43
2,26,37,1524.27
4,6,38,1515.33
3,9,39,1447.72
3,3,35,1432.16
3,12,39,1419.32
3,11,36,1418.51
3,10,37,1407.39
2,16,41,1406.03
2,19,39,1391.42
3,12,36,1386.9
2,17,40,1377.31
3,8,41,1373.98
4,33,1,1370.37
1,23,1,1364.42
1,22,37,1337.96
1,25,36,1335.64
3,12,38,1326.7
2,27,41,1317.5
2,13,43,1305.06
3,10,38,1299.16
1,24,36,1296.37
3,12,37,1296.21
1,20,38,1268.58
3,7,41,1268.4
3,4,35,1267.33
3,9,40,1264.5
5,33,41,1240.33
4,24,1,1233.43
4,32,1,1211.7
2,18,40,1210.09
3,10,39,1199.33
1,21,38,1192.8
2,14,43,1180.5
3,10,40,1167.24
3,5,37,1159.43
3,11,37,1149.2
1,23,37,1138.28
5,1,41,1128.66
4,25,1,1101.05
2,25,37,1094.42
3,8,42,1090.77
4,31,1,1085.8
1,26,38,1073.13
3,11,39,1051.39
3,5,38,1051.13
2,20,39,1046.21
4,26,1,1041.9
3,32,42,1020.93
1,24,37,1020.44
6,31,43,1014.39
4,30,1,1007.84
3,11,38,994.475
4,27,1,977.89
4,29,1,974.791
6,22,38,973.494
3,2,37,971.186
1,21,39,967.316
3,5,39,965.679
5,34,42,956.198
2,19,40,941.475
4,6,39,930.411
4,28,1,930.346
2,11,42,927.517
2,20,40,923.266
3,7,42,908.378
2,26,39,896.179
1,23,38,879.825
3,3,36,877.36
3,4,40,863.119
3,4,36,845.192
3,5,40,843.158
2,15,43,836.695
5,1,42,825.582
5,6,41,824.955
3,11,40,824.848
2,27,42,823.01
2,12,44,805.399
3,9,41,798.813
3,4,41,798.317
2,17,41,789.465
2,25,38,789.102
3,7,43,788.816
3,6,40,780.996
3,4,39,780.441
1,21,40,780.278
1,23,39,768.331
1,24,38,767.358
2,20,41,763.452
2,13,44,755.18
3,2,38,750.763
2,16,42,748.164
2,11,43,741.596
3,8,43,735.684
3,10,41,723.795
6,22,39,717.451
3,11,41,716.783
3,3,37,709.828
2,18,41,708.012
3,4,42,681.691
2,19,41,674.076
3,4,38,673.76
3,6,42,673.397
1,26,40,670.437
3,4,37,636.164
3,3,43,625.733
5,5,44,614.166
3,3,41,609.165
2,20,42,607.681
5,5,43,586.612
5,10,42,576.616
2,28,43,575.572
3,5,41,566.562
3,5,42,563.438
5,10,43,560.517
3,4,43,560.213
3,3,42,559.023
6,22,40,551.929
6,3,38,550.406
3,2,39,545.438
3,2,42,541.583
6,3,40,541.047
3,9,42,540.656
2,17,42,516.507
3,2,41,512.415
2,25,39,510.022
1,23,40,509.987
2,26,41,507.685
5,34,43,503.333
2,29,44,495.5
6,3,39,494.121
3,6,43,491.611
5,33,42,479.611
1,24,39,476.525
1,21,41,474.429
2,14,44,465.304
3,2,40,462.998
3,7,44,444.499
2,19,42,441.864
2,26,42,428.943
1,22,41,427.716
3,6,44,426.499
1,25,40,403.917
2,30,44,382.666
2,18,42,363.897
2,27,43,342.694
5,35,43,341.333
2,16,43,323.817
2,20,43,300.408
2,21,42,291.098
2,15,44,278.873
1,22,42,277.849
5,9,43,260.154
3,17,43,256.848
1,24,40,253.249
1,25,41,251.281
2,19,43,249.408
3,5,45,241
2,26,43,238.148
1,23,41,235.166
2,21,43,225.999
2,25,42,211.698
5,33,43,194.166
2,18,43,164.999
3,16,44,160.773
6,32,43,149.431
1,24,41,145.249
2,25,43,137.366
3,17,44,133.807
3,18,44,133.092
3,4,44,132.833
2,20,44,124.5
2,14,45,117.5
3,19,44,109.062
3,2,43,105.5
3,22,43,96.9998
1,23,42,95.166
3,17,45,85.4999
3,15,45,84.3332
2,21,44,78.9999
3,24,42,78.3328
3,24,43,78.1665
3,18,45,66.8333
3,16,45,63.4999
1,31,44,51.9995
2,20,45,48
2,25,44,46
3,24,44,45.5
2,13,45,45.3333
2,26,44,32
2,21,45,31
3,23,43,29.8333
3,19,45,28
5,20,47,25
5,20,48,25
5,20,49,25
5,20,50,25
5,20,51,25
5,20,52,25
5,20,46,24.5
3,6,45,24
3,33,44,23
6,32,44,21.8331
3,22,44,21.1666
3,23,44,10.3333
3,11,44,4
2,23,45,3.5
3,8,44,2
2,15,46,2
3,24,45,1.5
3,22,45,1
5,19,46,0.5
