r|th,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
25,6218.23,5515.91,5549.8,3717.99,3857.91,3536.26,2644.37,2162.15,1861.32,2289.29,2113.38,2692.1,3902.56,2510.22,1782.36,4137.39,7349.12,8126.89,12148.3,9432.08,6296.25,6059.04,13205.0,17875.4,29255.9,24503.2,17463.8,12902.1,13516.1,14637.3,14308.7,22690.6,21409.4,22651.6,19870.3,9230.55
26,6585.81,5656.33,5911.34,3687.34,3930.95,3999.87,2788.26,2140.21,1825.28,2419.32,2200.06,2832.51,3614.5,2438.28,1851.45,4072.24,3661.19,4480.22,8158.54,8394.74,9698.27,10600.3,11103.3,15922.7,39200.9,27751.0,18640.4,16254.7,13138.3,16022.9,17288.1,11532.8,18692.5,26195.3,15139.4,8933.71
27,7458.47,5718.32,5860.16,3999.55,4179.28,4157.01,2611.58,2053.41,2043.88,2279.08,2219.62,3175.81,3200.64,2078.97,2340.16,4020.99,3440.85,3805.94,8056.49,7238.64,7907.11,11292.6,13314.5,19861.1,42649.1,26136.3,19714.2,16713.1,19828.4,16282.9,7951.48,6572.4,20053.6,25155.3,13497.1,8688.1
28,8239.24,6210.83,5864.26,4206.38,4854.42,3752.98,2298.53,2088.05,2032.68,2171.62,2455.49,3307.87,2802.05,2219.67,3036.97,3811.21,2945.21,4112.68,9183.49,11017.0,9178.63,4928.83,9144.41,18451.3,42233.4,36458.9,24781.2,16112.5,17423.3,10928.0,3928.94,7305.45,21635.6,22952.3,12803.5,8813.4
29,8880.36,7262.08,5932.42,4299.32,5382.13,3254.4,2194.28,1991.66,1981.4,2371.54,2481.07,3319.79,2574.2,2507.08,3180.51,3810.49,2691.24,5374.81,10426.7,14097.0,4343.27,4137.27,8151.25,12801.8,33036.9,45524.3,27304.1,17499.5,18829.4,11255.3,3229.27,7574.64,21184.2,20755.2,12133.0,10019.0
30,9418.5,8235.79,6033.17,4392.01,5522.41,3095.9,2051.98,1738.72,2111.02,2570.57,2477.29,3051.46,2508.16,2701.72,3380.86,3545.72,2904.88,7630.58,11918.6,10644.7,3482.51,4976.79,7338.98,10962.0,17958.9,38707.4,36489.4,23670.7,21222.7,14307.5,3433.83,7843.0,21318.6,17883.7,11918.6,11843.1
31,10609.9,8766.61,6370.94,4622.84,5076.2,2968.25,1833.47,1962.64,2232.07,2451.27,2562.38,2726.39,2269.16,2925.44,3475.81,3399.72,4048.66,9965.66,11919.8,6749.57,5583.64,5968.97,6705.07,6630.45,8773.91,22668.1,36678.7,35395.3,26788.7,18740.6,5329.29,8724.38,19783.9,14691.4,13389.2,12565.5
32,12184.6,9079.63,7663.32,5640.92,4421.21,2560.36,1862.49,1762.39,1965.89,2434.9,2666.47,2269.4,2175.59,2768.02,3375.72,3637.49,6254.82,11976.5,10152.8,7421.85,5890.04,4574.42,3842.12,3609.82,4900.15,10212.3,25541.6,38184.3,39737.1,22570.9,10990.9,8831.67,18480.5,12367.5,13550.9,13663.9
33,15314.8,12770.8,6233.32,2740.32,3384.15,3733.09,2302.76,1622.77,2076.9,2391.45,2384.43,1887.44,2274.53,2472.32,3316.3,4038.18,7575.29,12894.5,10109.6,6212.84,3948.53,3158.87,2543.99,2695.67,3304.75,5549.15,12535.0,27988.8,43482.6,34628.1,21020.8,7487.17,16399.7,13614.3,12156.2,14126.0
34,19962.7,7722.84,3298.16,2676.14,3380.79,3060.4,3774.42,2339.23,2136.56,2144.15,2016.17,1869.83,2005.4,2390.75,3286.21,4428.84,8120.03,14166.5,8886.59,4130.35,2895.35,2384.98,2086.92,2169.17,2417.06,3831.12,7380.49,17234.0,33631.9,43185.7,32125.1,10513.0,13831.4,14427.4,10960.1,16717.2
