r|th,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
18,-68.39268178516151,-68.38474058914966,-68.36910027862817,-68.34623583197697,-68.31684009555123,-68.28180957387667,-68.2422071112862,-68.19923596833358,-68.15419914433198,-68.10847016216101,-68.06343589328917,-68.02046225778298,-67.98086007076598,-67.94582904117843,-67.9164345210982,-67.89356964890717,-67.8779291627707,-67.86998830278428,-67.86998830278428,-67.8779291627707,-67.89356964890717,-67.9164345210982,-67.94582904117843,-67.98086007076598,-68.02046225778298,-68.06343589328917,-68.10847016216101,-68.15419914433198,-68.19923596833358,-68.2422071112862,-68.28180957387667,-68.31684009555123,-68.34623583197697,-68.36910027862817,-68.38474058914966,-68.39268178516151
19,-68.43829556319798,-68.4289683621813,-68.41059829299027,-68.38374323366011,-68.34921695546889,-68.30807243304557,-68.26155801270065,-68.21108696430476,-68.15818970424611,-68.10447948120665,-68.05158522223358,-68.00111124624995,-67.9545971495753,-67.91345203059115,-67.87892718103852,-67.85207162189755,-67.83370134644085,-67.82437454009731,-67.82437454009731,-67.83370134644085,-67.85207162189755,-67.87892718103852,-67.91345203059115,-67.9545971495753,-68.00111124624995,-68.05158522223358,-68.10447948120665,-68.15818970424611,-68.21108696430476,-68.26155801270065,-68.30807243304557,-68.34921695546889,-68.38374323366011,-68.41059829299027,-68.4289683621813,-68.43829556319798
20,-68.49186993571966,-68.48091484173638,-68.45933861172836,-68.42779649117556,-68.38724428030316,-68.33891873127314,-68.28428606649568,-68.22500621634313,-68.1628767034953,-68.09979233979308,-68.03766635181562,-67.97838306311824,-67.92375077850181,-67.87542452879211,-67.83487399590115,-67.80333128830469,-67.78175481603107,-67.77080018560393,-67.77080018560393,-67.78175481603107,-67.80333128830469,-67.83487399590115,-67.87542452879211,-67.92375077850181,-67.97838306311824,-68.03766635181562,-68.09979233979308,-68.1628767034953,-68.22500621634313,-68.28428606649568,-68.33891873127314,-68.38724428030316,-68.42779649117556,-68.45933861172836,-68.48091484173638,-68.49186993571966
21,-68.55479559098853,-68.54192845908844,-68.5165864403122,-68.47953914284666,-68.43190918668822,-68.3751491794749,-68.31098124948566,-68.24135504161428,-68.16838180761725,-68.09428706869228,-68.02131797477585,-67.95168772821619,-67.88752024473904,-67.83075941455353,-67.78313142924156,-67.7460834422732,-67.72074113894774,-67.70787455151017,-67.70787455151017,-67.72074113894774,-67.7460834422732,-67.78313142924156,-67.83075941455353,-67.88752024473904,-67.95168772821619,-68.02131797477585,-68.09428706869228,-68.16838180761725,-68.24135504161428,-68.31098124948566,-68.3751491794749,-68.43190918668822,-68.47953914284666,-68.5165864403122,-68.54192845908844,-68.55479559098853
22,-68.62870330026881,-68.61359043343144,-68.58382540435353,-68.54031214299674,-68.4843692032273,-68.4177027201786,-68.34233538978306,-68.26055713367118,-68.17484768601398,-68.08782099417486,-68.00211640917759,-67.92033340949435,-67.84496660354186,-67.77829915388541,-67.72235852893957,-67.67884445773919,-67.64907909444892,-67.63396686710058,-67.63396686710058,-67.64907909444892,-67.67884445773919,-67.72235852893957,-67.77829915388541,-67.84496660354186,-67.92033340949435,-68.00211640917759,-68.08782099417486,-68.17484768601398,-68.26055713367118,-68.34233538978306,-68.4177027201786,-68.4843692032273,-68.54031214299674,-68.58382540435353,-68.61359043343144,-68.62870330026881
23,-68.71551073899334,-68.69776017035386,-68.66280014606531,-68.61169236216479,-68.5459855043622,-68.46768348555639,-68.37916202991482,-68.28311072714396,-68.18244210814112,-68.08022634169643,-67.97956343405066,-67.88350655979625,-67.79498572013061,-67.71668256601161,-67.65097842704692,-67.59986969195795,-67.5649092751258,-67.5471594575876,-67.5471594575876,-67.5649092751258,-67.59986969195795,-67.65097842704692,-67.71668256601161,-67.79498572013061,-67.88350655979625,-67.97956343405066,-68.08022634169643,-68.18244210814112,-68.28311072714396,-68.37916202991482,-68.46768348555639,-68.5459855043622,-68.61169236216479,-68.66280014606531,-68.69776017035386,-68.71551073899334
24,-68.81746831173506,-68.79661969438786,-68.75555801441331,-68.69553026816774,-68.6183554371392,-68.52638718188206,-68.42241586731905,-68.30960050360639,-68.19136195254427,-68.07130622673976,-67.95307438385136,-67.84025247625097,-67.73628188517164,-67.6443122964524,-67.56714065878694,-67.50711179533977,-67.46604965431005,-67.44520191915562,-67.44520191915562,-67.46604965431005,-67.50711179533977,-67.56714065878694,-67.6443122964524,-67.73628188517164,-67.84025247625097,-67.95307438385136,-68.07130622673976,-68.19136195254427,-68.30960050360639,-68.42241586731905,-68.52638718188206,-68.6183554371392,-68.69553026816774,-68.75555801441331,-68.79661969438786,-68.81746831173506
25,-68.9372219124938,-68.91273450228307,-68.86450616249759,-68.79400153277268,-68.70335706873617,-68.59533722476561,-68.4732193793731,-68.34071389743646,-68.20183869749573,-68.06082916401144,-67.92196184304892,-67.78944867509352,-67.6673316794572,-67.55931026929008,-67.46866955596713,-67.39816361405093,-67.34993473274046,-67.32544835869516,-67.32544835869516,-67.34993473274046,-67.39816361405093,-67.46866955596713,-67.55931026929008,-67.6673316794572,-67.78944867509352,-67.92196184304892,-68.06082916401144,-68.20183869749573,-68.34071389743646,-68.4732193793731,-68.59533722476561,-68.70335706873617,-68.79400153277268,-68.86450616249759,-68.91273450228307,-68.9372219124938
26,-69.0778746887882,-69.04911345035542,-68.99246773862639,-68.90965781921545,-68.80319302688622,-68.67632030081298,-68.53288902580242,-68.37725714285381,-68.21414382447826,-68.04852366379421,-67.88541959952798,-67.72977868910705,-67.58634841216202,-67.45947384654133,-67.35301345954392,-67.27020199892277,-67.21355565115552,-67.18479562973182,-67.18479562973182,-67.21355565115552,-67.27020199892277,-67.35301345954392,-67.45947384654133,-67.58634841216202,-67.72977868910705,-67.88541959952798,-68.04852366379421,-68.21414382447826,-68.37725714285381,-68.53288902580242,-68.67632030081298,-68.80319302688622,-68.90965781921545,-68.99246773862639,-69.04911345035542,-69.0778746887882
27,-69.24307869159846,-69.20929761958537,-69.1427652666193,-69.04550214432514,-68.92045555340945,-68.77143913654011,-68.60297412967384,-68.42017908565279,-68.22859683625775,-68.03407021363115,-67.84249883350844,-67.65969318640808,-67.49122935180439,-67.34221077432278,-67.21716935762208,-67.11990442512308,-67.05337132510805,-67.01959168251433,-67.01959168251433,-67.05337132510805,-67.11990442512308,-67.21716935762208,-67.34221077432278,-67.49122935180439,-67.65969318640808,-67.84249883350844,-68.03407021363115,-68.22859683625775,-68.42017908565279,-68.60297412967384,-68.77143913654011,-68.92045555340945,-69.04550214432514,-69.1427652666193,-69.20929761958537,-69.24307869159846
