r|th,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
18,-16.373290877858803,-16.418327709957385,-16.461298868857135,-16.50090135476056,-16.535933761465813,-16.5653276785509,-16.588192165581383,-16.603832519916917,-16.611773761849015,-16.611773701176038,-16.603833018738445,-16.588191871371443,-16.565327429727386,-16.535932898199185,-16.50090185900565,-16.461298713456152,-16.418326784116857,-16.373291883105576,-16.327562116894423,-16.282527215883142,-16.239555286543848,-16.19995214099435,-16.164921101800815,-16.135526570272614,-16.112662128628557,-16.097020981261554,-16.089080298823962,-16.089080238150984,-16.097021480083082,-16.112661834418617,-16.1355263214491,-16.164920238534187,-16.19995264523944,-16.239555131142865,-16.282526290042615,-16.327563122141196
19,-16.37728139126443,-16.43017866083325,-16.480649727959577,-16.52716417568635,-16.56831091214144,-16.60283505345604,-16.62969016021303,-16.64806028086512,-16.657387535816664,-16.657387464554215,-16.648060866747734,-16.62968981465359,-16.602834761204477,-16.568309898205836,-16.52716476793912,-16.480649545435913,-16.430177573402503,-16.37728257196047,-16.32357142803953,-16.270676426597497,-16.220204454564087,-16.17368923206088,-16.132544101794164,-16.098019238795523,-16.071164185346408,-16.052793133252266,-16.043466535445784,-16.043466464183336,-16.05279371913488,-16.07116383978697,-16.09801894654396,-16.13254308785856,-16.173689824313648,-16.220204272040423,-16.27067533916675,-16.32357260873557
20,-16.38196833588837,-16.44409785990622,-16.503377732058254,-16.558010428996564,-16.606338578477256,-16.646888279520148,-16.678430455777274,-16.700006746227952,-16.71096190355944,-16.710961819859428,-16.7000074343657,-16.67843004990673,-16.646887936261404,-16.60633738757767,-16.558011124616264,-16.50337751767841,-16.444096582684253,-16.381969722653395,-16.318884277346605,-16.256757417315747,-16.19747648232159,-16.142842875383735,-16.09451661242233,-16.053966063738596,-16.02242395009327,-16.0008465656343,-15.989892180140572,-15.98989209644056,-16.000847253772047,-16.022423544222725,-16.05396572047985,-16.094515421522743,-16.142843571003436,-16.197476267941745,-16.25675614009378,-16.31888566411163
21,-16.387473375850366,-16.460446622966952,-16.530072856677478,-16.594240824440753,-16.65100388597216,-16.698630894250165,-16.73567825714232,-16.761020346910534,-16.773887553215257,-16.773887454906735,-16.76102115515181,-16.735677780433512,-16.69863049108105,-16.651002487219934,-16.594241641469836,-16.53007260488103,-16.460445122826147,-16.38747500465323,-16.31337899534677,-16.240408877173852,-16.17078139511897,-16.106612358530164,-16.049851512780066,-16.00222350891895,-15.965176219566489,-15.939832844848189,-15.926966545093265,-15.926966446784744,-15.939833653089467,-15.965175742857678,-16.002223105749835,-16.04985011402784,-16.106613175559247,-16.17078114332252,-16.240407377033048,-16.313380624149634
22,-16.393939178889664,-16.479648641956217,-16.56142692841702,-16.636794303179386,-16.70346437362448,-16.759403851012028,-16.802917189214526,-16.83268230167482,-16.847795255902856,-16.847795140436286,-16.832683250980605,-16.802916629304452,-16.75940337747673,-16.70346273074429,-16.63679526280674,-16.561426632673868,-16.479646879991826,-16.393941091971847,-16.306912908028153,-16.221207120008174,-16.13942736732613,-16.06405873719326,-15.997391269255706,-15.941450622523268,-15.897937370695548,-15.868170749019393,-15.853058859563713,-15.853058744097144,-15.868171698325183,-15.897936810785474,-15.94145014898797,-15.997389626375519,-16.064059696820614,-16.13942707158298,-16.221205358043782,-16.306914821110336
23,-16.40153351250661,-16.502202149608266,-16.59825348802495,-16.686774995776844,-16.76508122809996,-16.83078401921896,-16.88189189337735,-16.91685201560129,-16.934602686884052,-16.934602551264692,-16.916853130592756,-16.881891235744202,-16.83078346303588,-16.765079298482114,-16.686776122891334,-16.598253140664703,-16.50220008012203,-16.401535759485757,-16.299318240514243,-16.19865391987797,-16.102600859335297,-16.014077877108665,-15.935774701517884,-15.87007053696412,-15.818962764255797,-15.784000869407244,-15.766251448735305,-15.76625131311595,-15.78400198439871,-15.81896210662265,-15.870069980781041,-15.935772771900039,-16.014079004223156,-16.102600511975048,-16.198651850391734,-16.29932048749339
24,-16.410453252952262,-16.528691825272023,-16.641507230851843,-16.745478606620118,-16.83745181078971,-16.914621865366776,-16.974649717623123,-17.01571151262596,-17.03656025053101,-17.036560091241686,-17.015712822219523,-16.974648945211708,-16.914621212111747,-16.8374495443911,-16.745479930452568,-16.64150682286599,-16.528689394593464,-16.410455892101993,-16.290398107898007,-16.172164605406536,-16.05934717713401,-15.955374069547432,-15.863404455608901,-15.78623278788825,-15.726205054788291,-15.685141177780478,-15.664293908758316,-15.66429374946899,-15.68514248737404,-15.726204282376875,-15.786232134633224,-15.863402189210293,-15.955375393379882,-16.059346769148156,-16.172162174727976,-16.290400747047737
25,-16.420929875801125,-16.55980510070966,-16.69231063182074,-16.814428549100903,-16.922454205737456,-17.01309305966925,-17.08359781390742,-17.131826288797537,-17.15631384060756,-17.15631365351683,-17.13182782695972,-17.083596906683937,-17.013092292399,-16.922451543775203,-16.814430103987142,-16.692310152627478,-16.559802245795016,-16.42093297557225,-16.27992102442775,-16.141051754204984,-16.008543847372522,-15.886423896012856,-15.778402456224798,-15.687761707601,-15.617257093316061,-15.569026173040278,-15.54454034648317,-15.544540159392442,-15.569027711202462,-15.61725618609258,-15.687760940330751,-15.778399794262544,-15.886425450899095,-16.00854336817926,-16.14104889929034,-16.279924124198875
26,-16.433234859371936,-16.59634820707297,-16.7519801477785,-16.89541150722339,-17.022291060456848,-17.12874926354049,-17.2115593291962,-17.268205199609902,-17.296966604355532,-17.29696638461155,-17.268207006230075,-17.211558263633503,-17.1287483623573,-17.022287933897914,-16.8954133334865,-16.751979584950845,-16.596344853885352,-16.43323850015124,-16.26761549984876,-16.104509146114648,-15.948874415049154,-15.805440666513503,-15.678566066102086,-15.572105637642702,-15.489295736366495,-15.432646993769923,-15.40388761538845,-15.403887395644466,-15.432648800390098,-15.4892946708038,-15.572104736459506,-15.678562939543154,-15.80544249277661,-15.9488738522215,-16.10450579292703,-16.267619140628064
27,-16.44768770270691,-16.639269986545738,-16.82206509840429,-16.990530204441622,-17.139554640047397,-17.26459349166563,-17.361856785729348,-17.428389325076072,-17.462170592429374,-17.462170334332445,-17.42839144701412,-17.361855534189004,-17.26459243319471,-17.1395509677955,-16.99053234945098,-16.82206443734369,-16.63926604811059,-16.447691978928475,-16.253162021071525,-16.06158795188941,-15.87878956265631,-15.71032165054902,-15.5613030322045,-15.436261566805289,-15.338998465810995,-15.272462552985878,-15.238683665667555,-15.238683407570626,-15.272464674923928,-15.338997214270652,-15.436260508334371,-15.561299359952601,-15.710323795558375,-15.87878890159571,-16.06158401345426,-16.253166297293088
